Group_Name,Group_ID,Group_Path,Static_VM_Member,Static_IP_Member,Static_MAC_Member,Group_Segment_Port,Condition_Member_OR,Condition_Member_AND
test-ipset-192.168.65.37or12,2cce5ab5-5907-470b-80f3-0c6f44e2ccba,/infra/domains/default/groups/2cce5ab5-5907-470b-80f3-0c6f44e2ccba,,"'192.168.65.37', '192.168.65.12'",,,,
nsx-segment-tag,rr,/infra/domains/default/groups/rr,,,,"'ipset1', 'cctest'","'Segment,Tag,EQUALS,Segments|Seg-Net-192-168', 'VirtualMachine,Name,STARTSWITH,test'",
VDCGROUP-GZCM00005-GY4,2cd5dff6-c475-447d-bdf9-5ca0eda389d0,/infra/domains/default/groups/2cd5dff6-c475-447d-bdf9-5ca0eda389d0,,,,,"'Segment,Tag,EQUALS,SYSTEM|urn:vcloud:vdcGroup:2cd5dff6-c475-447d-bdf9-5ca0eda389d0'",
iponly_group,iponly_group,/infra/domains/default/groups/iponly_group,,'1.1.1.1',,,,
powercli-test02,powercli-test02,/infra/domains/default/groups/powercli-test02,"'Web_Server', 'DVWA'",,,,,
powercli-test03,powercli-test03,/infra/domains/default/groups/powercli-test03,"'Web_Server', ''","'10.22.33.55', '10.10.1.1/24', '11.21.31.41-11.21.31.49'",,,,
web_group,web_group,/infra/domains/default/groups/web_group,"'', 'win11-temp'","'10.22.33.55', '10.10.1.1/24', '11.21.31.41-11.21.31.49'",,"'ipset1', 'cctest'",,
DefaultMaliciousIpGroup,9be75a65-f7ae-441f-8e97-1ee94103b74a,/infra/domains/default/groups/9be75a65-f7ae-441f-8e97-1ee94103b74a,,,,,"'IPAddress,ALL,EQUALS,MALICIOUS_IP'",
MetricsSystem_NSGroup,81422b9c-a416-4624-802b-a3132bd35f51,/infra/domains/default/groups/81422b9c-a416-4624-802b-a3132bd35f51,,,,,"'TransportNode,NodeType,EQUALS,HostNode', 'TransportNode,NodeType,EQUALS,EdgeNode'",
tanzu-group,tanzu-group,/infra/domains/default/groups/tanzu-group,'labharbor284(131.178)',,,,,
lab1-mgmt,lab1-mgmt,/infra/domains/default/groups/lab1-mgmt,"'labvcd(140.150)', 'labbackup(131.239)±¸·Ý', 'labsrm(131.161)', 'labvr(131.161)', 'labhcx-cloud(131.167)', 'lab1vc(131.130)', 'lab1avi(131.165)'",,,,,
tanzu-group-static,tanzu-group-static,/infra/domains/default/groups/tanzu-group-static,'labharbor284(131.178)',,,,,
rule1008-source_vm,rule1008-source_vm,/infra/domains/default/groups/rule1008-source_vm,'DVWA',,,,,
rule1008-dest_vm,rule1008-dest_vm,/infra/domains/default/groups/rule1008-dest_vm,'Web_Server',,,,,
ipset-test001,ipset-test001,/infra/domains/default/groups/ipset-test001,,"'192.168.200.0/24', '192.168.202.1-192.168.202.100', '192.168.201.201'",,,,
rule1008-source_ip,rule1008-source_ip,/infra/domains/default/groups/rule1008-source_ip,,"'192.168.200.0/24', '192.168.201.195', '192.168.201.192'",,,,
kms-s--1708934981688,9e34ffd1-24ae-4694-b76c-1adb14f3d8dd,/infra/domains/default/groups/9e34ffd1-24ae-4694-b76c-1adb14f3d8dd,,"'10.206.20.172', '10.204.13.240'",,,,
kms-s--1709001443527,54a0a656-7ce7-4d5c-b189-858661897537,/infra/domains/default/groups/54a0a656-7ce7-4d5c-b189-858661897537,,"'10.206.20.172', '10.204.13.240'",,,,
