display_name,is_system_created,service_type,service_entries,id,path
IPv6-ICMP Packet Too Big,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Packet_Too_Big', 'display_name': 'IPv6-ICMP Packet Too Big'}]",['id'],/infra/services/IPv6-ICMP_Packet_Too_Big
IPv6-ICMP Parameter Problem,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Parameter_Problem', 'display_name': 'IPv6-ICMP Parameter Problem'}]",['id'],/infra/services/IPv6-ICMP_Parameter_Problem
IPv6-ICMP Time Exceeded,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Time_Exceeded', 'display_name': 'IPv6-ICMP Time Exceeded'}]",['id'],/infra/services/IPv6-ICMP_Time_Exceeded
IPv6-ICMP Version 2 Multicast Listener,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Version_2_Multicast_Listener', 'display_name': 'IPv6-ICMP Version 2 Multicast Listener'}]",['id'],/infra/services/IPv6-ICMP_Version_2_Multicast_Listener
ISAKMP,True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['500'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'ISAKMP', 'display_name': 'ISAKMP'}]",['id'],/infra/services/ISAKMP
Java Object Cache port,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['7000'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Java_Object_Cache_port', 'display_name': 'Java Object Cache port'}]",['id'],/infra/services/Java_Object_Cache_port
KERBEROS,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['88'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'KERBEROS', 'display_name': 'KERBEROS'}]",['id'],/infra/services/KERBEROS
KERBEROS-TCP,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['88'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'KERBEROS-TCP', 'display_name': 'KERBEROS-TCP'}]",['id'],/infra/services/KERBEROS-TCP
KERBEROS-UDP,True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['88'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'KERBEROS-UDP', 'display_name': 'KERBEROS-UDP'}]",['id'],/infra/services/KERBEROS-UDP
LDAP,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['389'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'LDAP', 'display_name': 'LDAP'}]",['id'],/infra/services/LDAP
LDAP Global Catalog,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['3268'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'LDAP_Global_Catalog', 'display_name': 'LDAP Global Catalog'}]",['id'],/infra/services/LDAP_Global_Catalog
LDAP-UDP,True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['389'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'LDAP-UDP', 'display_name': 'LDAP-UDP'}]",['id'],/infra/services/LDAP-UDP
LDAP-over-SSL,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['636'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'LDAP-over-SSL', 'display_name': 'LDAP-over-SSL'}]",['id'],/infra/services/LDAP-over-SSL
LDAP-over-SSL-UDP,True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['636'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'LDAP-over-SSL-UDP', 'display_name': 'LDAP-over-SSL-UDP'}]",['id'],/infra/services/LDAP-over-SSL-UDP
Log Loader,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['44000'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Log_Loader', 'display_name': 'Log Loader'}]",['id'],/infra/services/Log_Loader
MGCP (TCP),True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['2428'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'MGCP_(TCP)', 'display_name': 'MGCP (TCP)'}]",['id'],/infra/services/MGCP_(TCP)
MGCP (UDP),True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['2427'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'MGCP_(UDP)', 'display_name': 'MGCP (UDP)'}]",['id'],/infra/services/MGCP_(UDP)
MS Customizable,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['64327'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'MS_Customizable', 'display_name': 'MS Customizable'}]",['id'],/infra/services/MS_Customizable
